PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103167143,4534,CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O,Active,,,,0.1,IC50,=,100,nM,
2,103172204,60490,CC(C1=CC2=CC=CC=C2S1)N(C(=O)N)O,Active,,,,0.15,IC50,=,150,nM,
3,103252336,26757,C[C@H](CC1=CC=CC=C1)N(C)CC#C,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
4,103292864,4235,C1COCCN1CCNC(=O)C2=CC=C(C=C2)Cl,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
5,103303946,3748,CC(C)NNC(=O)C1=CC=NC=C1,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
6,404696957,145979972,COC1=CC2=C(C=C1)C(=O)C=C(N2)C(=O)NCCC3CCN(CC3)CC4=CC=CC=C4,Unspecified,,,,100,IC50,>,100000,nM,
7,404697900,145980588,C1CN(CCC1CCNC(=O)C2=CC(=O)C3=CC(=C(C=C3O2)O)O)CC4=CC=CC=C4,Active,,,,4.2,IC50,=,4200,nM,
8,404699805,145981823,C1CN(CCC1NC(=O)C2=CC(=O)C3=C(O2)C=CC(=C3)O)CC4=CC=CC=C4,Unspecified,,,,100,IC50,>,100000,nM,
9,404700816,145982457,C1CN(CCC1CCNC(=O)C2=CC(=O)C3=C(O2)C=CC(=C3)[N+](=O)[O-])CC4=CC=CC=C4,Active,,,,9.8,IC50,=,9800,nM,
10,404703505,145984359,C1CN(CCC1CCNC(=O)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)CC4=CC=CC=C4,Unspecified,,,,95.1,IC50,=,95100,nM,
11,404707921,145987407,C1CN(CCC1CCNC(=O)C2=CC(=O)C3=C(O2)C=CC(=C3)N)CC4=CC=CC=C4,Unspecified,,,,28.9,IC50,=,28900,nM,
12,404708531,145987800,COC1=CC=CC2=C1NC(=CC2=O)C(=O)NCCC3CCN(CC3)CC4=CC=CC=C4,Unspecified,,,,100,IC50,>,100000,nM,
13,404708591,145987838,COC1=CC2=C(C=C1)OC(=CC2=O)C(=O)NCCCC3CCN(CC3)CC4=CC=CC=C4,Unspecified,,,,82.4,IC50,=,82400,nM,
14,404708926,145988042,C1CN(CCC1CCNC(=O)C2=CC(=O)C3=C(O2)C=CC(=C3)O)CC4=CC=CC=C4,Unspecified,,,,100,IC50,>,100000,nM,
15,404710109,145988798,COC1=C(C=C2C(=C1)C(=O)C=C(N2)C(=O)NCCC3CCN(CC3)CC4=CC=CC=C4)OC,Unspecified,,,,100,IC50,>,100000,nM,
16,404712950,145990611,COC1=CC2=C(C=C1)C(=O)C=C(O2)C(=O)NCCC3CCN(CC3)CC4=CC=CC=C4,Unspecified,,,,100,IC50,>,100000,nM,
17,404713200,145990784,C1CN(CCC1CCCNC(=O)C2=CC(=O)C3=C(O2)C=CC(=C3)O)CC4=CC=CC=C4,Unspecified,,,,15.1,IC50,=,15100,nM,
18,404715416,145992212,C1CN(CCC1CCNC(=O)C2=CC(=O)C3=C(N2)C(=CC=C3)O)CC4=CC=CC=C4,Unspecified,,,,77.6,IC50,=,77600,nM,
19,404716229,145992723,COC1=C(C=C2C(=C1)C(=O)C=C(O2)C(=O)NCCC3CCN(CC3)CC4=CC=CC=C4)OC,Unspecified,,,,74.3,IC50,=,74300,nM,
20,404716840,145993120,C1CN(CCC1CCNC(=O)C2=CC(=O)C3=CC=CC=C3O2)CC4=CC=CC=C4,Unspecified,,,,100,IC50,>,100000,nM,
21,404716977,145993208,COC1=CC2=C(C=C1)OC(=CC2=O)C(=O)NCCC3CCN(CC3)CC4=CC=CC=C4,Unspecified,,,,100,IC50,>,100000,nM,
22,404717238,145993378,COC1=CC2=C(C=C1)NC(=CC2=O)C(=O)NCCC3CCN(CC3)CC4=CC=CC=C4,Unspecified,,,,100,IC50,>,100000,nM,
23,404717456,145993498,COC1=C(C=C2C(=C1)C(=O)C=C(O2)C(=O)NCCCC3CCN(CC3)CC4=CC=CC=C4)OC,Unspecified,,,,100,IC50,>,100000,nM,
24,404717584,145993580,COC1=C(C=C2C(=C1)C(=O)C=C(O2)C(=O)NCC3CCN(CC3)CC4=CC=CC=C4)OC,Unspecified,,,,100,IC50,>,100000,nM,
25,404718804,145994271,C1CN(CCC1CCNC(=O)C2=CC(=O)C3=C(N2)C=CC(=C3)O)CC4=CC=CC=C4,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
