PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,194182837,25187677,CC1(C=CC2=C(C=C(C=C2O1)/C=C/C3=CC=C(C=C3)O)O)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
2,440132436,155525363,CC(=CCC1=C(C=CC(=C1)/C=C/C2=CC(=CC(=C2)OC)OC)OC)C,Active,,,Potential missing data,Inhibition,%,Active
3,440135835,155527560,CC(=CCC1=C(C=CC(=C1)/C=C\C2=CC(=CC(=C2)OC)OC)OC)C,Active,,,Potential missing data,Inhibition,%,Active
4,440141416,25141098,CC(=CCC1=C(C(=C(C=C1O)O)CC=C(C)C)/C=C/C2=CC=C(C=C2)O)C,Active,,,Potential missing data,Inhibition,%,Active
5,440154588,155539368,CC(C)(C=C)C1=C(C=CC(=C1)/C=C/C2=CC(=CC(=C2)OC)OC)OC,Inactive,,,Potential missing data,Inhibition,%,Not Active
