PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103172204,60490,CC(C1=CC2=CC=CC=C2S1)N(C(=O)N)O,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
2,103174500,3672,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,Active,,,,4.2,IC50,=,4200,nM,
3,103509987,5716903,CC(=CCC/C(=C/CC1=C(C2=C(C=C1O)O[C@@H](CC2=O)C3=CC=C(C=C3)O)O)/C)C,Active,,,,6,IC50,=,6000,nM,
4,103509988,639465,CC(=CCC/C(=C/CC1=C(C2=C(C=C1O)O[C@@H](CC2=O)C3=CC(=C(C=C3)O)O)O)/C)C,Active,,,,4.2,IC50,=,4200,nM,
5,103601918,24824762,CC(=CCC/C(=C/CC1=C(C2=C(C=C1O)O[C@@H](CC2=O)C3=CC(=C(C(=C3)OC)O)O)O)/C)C,Unspecified,,,,10.6,IC50,=,10600,nM,
6,103601919,24854123,CC(=CCC/C(=C/CC1=C(C2=C(C=C1O)O[C@@H](CC2=O)C3=CC(=C(C(=C3)OC)O)OC)O)/C)C,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
7,318373229,122178781,CC(=CCC/C(=C/CC1=C(C2=C(C=C1O)O[C@@H](CC2=O)C3=CC(=C(C(=C3)OC)OC)O)O)/C)C,Active,,,,6.4,IC50,=,6400,nM,
8,318373236,122178788,CC(=CCCC1(C=CC2=C(C3=C(C=C2O1)O[C@@H](CC3=O)C4=CC(=CC(=C4)O)O)O)C)C,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
9,404695315,145978901,CC(=CCCC1(C=CC2=C(C3=C(C=C2O1)O[C@@H](CC3=O)C4=CC(=C(C=C4)O)OC)O)C)C,Active,,,,9.5,IC50,=,9500,nM,
10,404699028,129834645,CC(=CCC/C(=C/CC1=C(C2=C(C=C1O)OC=CC2=O)O)/C)C,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
11,404707636,145987225,CC(=CCCC1(C=CC2=C(C3=C(C=C2O1)OC(CC3=O)C4=CC(=C(C(=C4)OC)O)OC)O)C)C,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
